1;<Manuel Rosa de Oliveira Lino>;[Bioquímica, Economia, Engenharia Civil];[Estatística Sócio-Econômica, Lipídeos, Processos Construtivos]
10;<Rafael Luiz Cancian>;[Astronomia, Bioquímica, Ciência da Computação, Economia, Educação, Engenharia Biomédica, Engenharia Elétrica, Engenharia de Produção, Engenharia de Transportes, Física, Matemática, Oceanografia, Planejamento Urbano e Regional, Probabilidade e Estatística, Recursos Pesqueiros e Engenharia de Pesca];[Arquitetura de Sistemas de Computação, Astronomia Espacial, Astronomia Fundamental, Automação Eletrônica de Processos Elétricos e Industriais, Avaliação de Sistemas, Instituições, Planos e Programas Educacionais, Banco de Dados, Bioinformática, Circuitos Eletrônicos, Computabilidade e Modelos de Computação, Controle de Processos Eletrônicos, Retroalimentação, Dinâmica dos Fluídos, Economia Matemática, Engenharia de Software, Geomorfologia Submarina, Hardware, Inferência Paramétrica, Inteligência Artificial, Interação do Oceano com a Atmosfera, Interação entre os Organismos Marinhos e os Parâmetros Ambientais, Linguagens de Programação, Lógicas e Semântica de Programas, Manejo e Conservação de Recursos Pesqueiros Marinhos, Maricultura, Matemática Simbólica, Materiais e Componentes Semicondutores, Modelagem de Sistemas Biológicos, Modelos Analíticos e de Simulação, Métodos e Modelos Matemáticos, Econométricos e Estatísticos, Métodos e Técnicas de Ensino, Operação de Sistemas de Transporte, Planejamento de Experimentos, Planejamento e Organização do Sistema de Transporte, Processos de Colisão e Interações de Átomos e Moléculas, Proteínas, Redes de Computadores, SISTEMAS OPERACIONAIS, Sedimentologia Marinha, Sistema Planetário, Sistema de Tempo Real, Sistemas Dinâmicos, Sistemas Distribuídos, Sistemas Eletrônicos de Medida e de Controle, Sistemas de Informação, Sistemas de Tempo Real, Software Básico, Séries Temporais, Teleinformática, Tempo real, Teoria Geral de Planejamento e Desenvolvimento Curricular, Transporte e Tráfego Urbano e Regional]
11;<João Artur de Souza>;[Ciência da Computação, Educação, Engenharia de Produção, Matemática, Probabilidade e Estatística];[Administração de Unidades Educativas, Análise Multivariada, Avaliação da Aprendizagem, Avaliação de Sistemas, Instituições, Planos e Programas Educacionais, Classificação de Padrões, Ensino de Matemática a Distância, Métodos e Técnicas de Ensino, Reconhecimento de Padrões, Redes Neurais, Sistemas de Informação, Tecnologia Educacional, Tecnologias educacionais]
11;<Gertrudes Aparecida Dandolini>;[Ciência da Computação, Educação, Engenharia Biomédica, Engenharia de Produção, Matemática, Probabilidade e Estatística];[Análise Multivariada, Avaliação de Sistemas, Instituições, Planos e Programas Educacionais, Banco de Dados, Educação a Distancia, Ensino de Matemática a Distância, Métodos e Técnicas de Ensino, Processamento de Sinais Biológicos, Processamento de Sinal, Reconhecimento de Padrões, Sistemas de Informação, Tecnologia Educacional, Tecnologias educacionais]
12;<Carina Friedrich Dorneles>;[Ciência da Computação];[Banco de Dados, Consulta Por Similaridade, Dados Semi Estruturados e Web, Documentos, Engenharia de Software, Extração de Informações, Interfaces, Sistemas de Informação, Xml]
13;<Rogerio Cid Bastos>;[Ciência da Computação];[Arquitetura de Sistemas de Computação, Sistemas de Informação]
13;<Mauricio Uriona Maldonado>;[Administração, Ciência Política, Ciência da Computação, Ciência da Informação, Economia, Engenharia de Produção];[Capital Humano, Crescimento e Desenvolvimento Econômico, Economia Regional, Gerência do Projeto e do Produto, Modelos Analíticos e de Simulação, Métodos Quantitativos. Bibliometria, Métodos e Modelos Matemáticos, Econométricos e Estatísticos, Planejamento em Ciência e Tecnologia, Planejamento, Projeto e Controle de Sistemas de Produção, Técnicas de Antecipação]
14;<Neri dos Santos>;[Administração, Arquitetura e Urbanismo, Ciência da Computação, Educação, Engenharia de Produção, Engenharia de Transportes];[Administração Geral, Administração da Produção, Antropotecnologia, Análise de Custos, Arquitetura dos Espaços de Trabalho, Avaliação de Projetos, Controladoria, Controle de Gestão, Empreendedorismo, Ergonomia, Ergonomia Cognitiva, Ergonomia Física, Garantia de Controle de Qualidade, Gestão de Negócios, Gestão de Riscos, Gestão do Conhecimento, Higiene e Segurança do Trabalho, Inteligência Artificial, Inteligência Competitiva, Inteligência Tecnológica, Metodologia de Projeto do Produto, Planejamento de Instalações Industriais, Planejamento e Organização do Sistema de Transporte, Planejamento, Projeto e Controle de Sistemas de Produção, Política e Planejamento Governamentais, Processo de Gestão, Processos de Trabalho, Programação Linear, Não-Linear, Mista e Dinâmica, Suprimentos, Tecnologia Educacional, Teoria dos Grafos]
15;<Joao Bosco da Mota Alves>;[Ciência da Computação, Educação, Engenharia de Produção, Psicologia];[Arquitetura de Sistemas de Computação, Educação Especial, Educação Permanente, Educação a Distância, Ensino Profissionalizante, Ensino da Computação, Ergonomia, Hardware, Linguagens de Programação, Modelos de Consciência, Métodos e Técnicas de Ensino, Sistemas Inteligentes Multiagentes, Sistemas Remotos, Sistemas de Informação, Software Básico, Tecnologia Educacional, Teleinformática]
16;<Luis Fernando Friedrich>;[Ciência da Computação, Engenharia de Produção];[Arquitetura de Sistemas de Computação, Engenharia de Software, Planejamento, Projeto e Controle de Sistemas de Produção, Software Básico]
16;<José Luís Almada Güntzel>;[Ciência da Computação, Engenharia Elétrica];[Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Hardware, Linguagens de Programação, Microeletrônica, Processamento Gráfico (Graphics), Sistemas de Informação, Teleinformática]
16;<Ricardo Pereira e Silva>;[Ciência da Computação, Engenharia Elétrica];[Arquitetura de Sistemas de Computação, Circuitos Eletrônicos, Engenharia de Software, Frameworks orientados a objetos, Hardware, desenvolvimento baseado em componentes, metodologias de desenvolvimento de software, teste de software]
17;<Alexandre Leopoldo Gonçalves>;[Administração, Ciência da Computação];[Análise de Agrupamentos, Análise de Algoritmos e Complexidade de Computação, Análise de Links, Banco de Dados, Data Warehouse, Engenharia de Software, Linguagens de Programação, Mineração de Dados, Ontologia, Planejamento em Ciência e Tecnologia, Planos e Programas Educacionais, Sistemas Multiagentes, Sistemas de Informação, Text Mining]
17;<Aline França de Abreu>;[Ciência da Computação, Ciência da Informação, Direito, Economia, Engenharia de Produção];[Alinhamento Estratégico da TI, Comércio Eletrônico, Desenvolvimento de Produto, Design, Difusão da Inovação, Direito Administrativo, Economia de Tecnologia, Garantia de Controle de Qualidade, Geracao de Ideias, Geração de Idéias, Gestao da Informacao, Gestão Ambiental, Gestão Integrada de Tecnologia da Informação, Gestão do Conhecimento, Inovação Tecnológica, Inteligência Competitiva, Inteligência de Negócios, Metodologia de Projeto do Produto, Organização Industrial e  Estudos Industriais, Processos, Redes de Inovação, Representação da Informação, SISTEMAS DE INFORMAÇÃO, Sistemas de Informacao, Sistemas de Informação, Universidade]
